iter	Passed	Remaining
0	3	345
1	6	304
2	8	287
3	11	276
4	14	268
5	17	267
6	19	263
7	22	259
8	25	257
9	27	251
10	30	246
11	33	244
12	35	240
13	38	238
14	41	235
15	43	230
16	46	227
17	49	223
18	51	220
19	54	216
20	56	214
21	59	210
22	62	208
23	64	205
24	67	202
25	70	199
26	72	196
27	75	193
28	78	191
29	80	187
30	83	185
31	85	182
32	88	179
33	90	176
34	93	173
35	95	170
36	98	167
37	100	164
38	103	161
39	106	159
40	108	156
41	110	153
42	113	150
43	116	147
44	118	144
45	121	142
46	123	139
47	126	136
48	129	134
49	131	131
50	134	128
51	136	126
52	139	123
53	141	120
54	144	118
55	146	115
56	149	112
57	152	110
58	154	107
59	157	104
60	159	102
61	162	99
62	164	96
63	167	94
64	170	91
65	172	88
66	174	86
67	177	83
68	179	80
69	182	78
70	185	75
71	187	72
72	189	70
73	192	67
74	194	64
75	197	62
76	199	59
77	202	57
78	205	54
79	207	51
80	210	49
81	212	46
82	215	44
83	218	41
84	221	39
85	223	36
86	226	33
87	228	31
88	231	28
89	233	25
90	236	23
91	238	20
92	241	18
93	243	15
94	246	12
95	248	10
96	250	7
97	253	5
98	255	2
99	258	0
